"cc_iso3c","group","sort_order","metric","label","value","incise_average","imputed","description","source"
"AUS","0_index",0,"incise_index","InCiSE Index",0.87,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"AUT","0_index",0,"incise_index","InCiSE Index",0.62,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"BEL","0_index",0,"incise_index","InCiSE Index",0.52,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"BGR","0_index",0,"incise_index","InCiSE Index",0.13,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"CAN","0_index",0,"incise_index","InCiSE Index",0.94,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"CHE","0_index",0,"incise_index","InCiSE Index",0.66,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"CHL","0_index",0,"incise_index","InCiSE Index",0.47,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"CZE","0_index",0,"incise_index","InCiSE Index",0.25,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"DEU","0_index",0,"incise_index","InCiSE Index",0.5,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"DNK","0_index",0,"incise_index","InCiSE Index",0.84,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"ESP","0_index",0,"incise_index","InCiSE Index",0.6,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"EST","0_index",0,"incise_index","InCiSE Index",0.68,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"FIN","0_index",0,"incise_index","InCiSE Index",0.88,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"FRA","0_index",0,"incise_index","InCiSE Index",0.61,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"GBR","0_index",0,"incise_index","InCiSE Index",1,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"GRC","0_index",0,"incise_index","InCiSE Index",0.11,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"HRV","0_index",0,"incise_index","InCiSE Index",0.15,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"HUN","0_index",0,"incise_index","InCiSE Index",0,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"IRL","0_index",0,"incise_index","InCiSE Index",0.63,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"ISL","0_index",0,"incise_index","InCiSE Index",0.26,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"ISR","0_index",0,"incise_index","InCiSE Index",0.33,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"ITA","0_index",0,"incise_index","InCiSE Index",0.42,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"JPN","0_index",0,"incise_index","InCiSE Index",0.45,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"KOR","0_index",0,"incise_index","InCiSE Index",0.77,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"LTU","0_index",0,"incise_index","InCiSE Index",0.49,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"LVA","0_index",0,"incise_index","InCiSE Index",0.46,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"MEX","0_index",0,"incise_index","InCiSE Index",0.47,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"NLD","0_index",0,"incise_index","InCiSE Index",0.79,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"NOR","0_index",0,"incise_index","InCiSE Index",0.83,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"NZL","0_index",0,"incise_index","InCiSE Index",0.98,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"POL","0_index",0,"incise_index","InCiSE Index",0.28,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"PRT","0_index",0,"incise_index","InCiSE Index",0.25,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"ROU","0_index",0,"incise_index","InCiSE Index",0.12,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"SVK","0_index",0,"incise_index","InCiSE Index",0.17,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"SVN","0_index",0,"incise_index","InCiSE Index",0.37,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"SWE","0_index",0,"incise_index","InCiSE Index",0.78,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"TUR","0_index",0,"incise_index","InCiSE Index",0.19,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"USA","0_index",0,"incise_index","InCiSE Index",0.76,0.52,"","Overall composite InCiSE Index score","InCiSE 2019"
"AUS","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.69,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"AUT","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.56,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"BEL","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.5,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"BGR","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.58,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"CAN","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.86,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"CHE","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.7,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"CHL","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.59,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"CZE","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.64,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"DEU","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.54,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"DNK","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.88,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"ESP","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.62,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"EST","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.79,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"FIN","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.85,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"FRA","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.41,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"GBR","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.8,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"GRC","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.16,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"HRV","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.61,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"HUN","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.59,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"IRL","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.72,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"ISL","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.6,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"ISR","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.48,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"ITA","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.39,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"JPN","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.48,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"KOR","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.64,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"LTU","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.29,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"LVA","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.66,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"MEX","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.49,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"NLD","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.69,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"NOR","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.71,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"NZL","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",1,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"POL","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.73,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"PRT","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.62,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"ROU","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.63,0.62,"Imputed value","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"SVK","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.71,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"SVN","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.69,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"SWE","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.7,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"TUR","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"USA","0_indicators",1,"ind_cap","Capabilities (InCiSE Indicator)",0.94,0.62,"","Composite InCiSE Indicator for Capabilities","InCiSE 2019"
"AUS","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.93,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"AUT","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.61,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"BEL","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.69,0.64,"Imputed value","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"BGR","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.51,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"CAN","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.79,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"CHE","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.91,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"CHL","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.55,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"CZE","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.75,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"DEU","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"DNK","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.35,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"ESP","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.82,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"EST","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.51,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"FIN","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.98,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"FRA","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.77,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"GBR","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.84,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"GRC","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.49,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"HRV","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.38,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"HUN","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.51,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"IRL","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.73,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"ISL","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.63,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"ISR","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.57,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
