"metric","indicator","indord","description","label","year","proxy","transformation","wt_intheme","wt_theme","type","datapoints"
"cap_litscore","CAP",1,"Literacy competency score","Literacy level",2012,"YES",1,4,4,"Other",1
"cap_numscore","CAP",2,"Numeracy competency score","Numeracy level",2012,"YES",1,4,4,"Other",1
"cap_pslscore","CAP",3,"Problem solving competency score","Problem solving level",2012,"YES",1,4,4,"Other",1
"cap_tertedu","CAP",4,"Proportion with tertiary education","Tertiary education",2012,"YES",1,4,4,"Other",1
"cap_ictwork","CAP",5,"Index of ICT use at work","ICT at work",2012,"YES",1,4,4,"Other",1
"cap_numwork","CAP",6,"Index of numeracy skills at work","Numeracy at work",2012,"YES",1,4,4,"Other",1
"cap_readwork","CAP",7,"Index of reading skills at work","Reading at work",2012,"YES",1,4,4,"Other",1
"cap_writwork","CAP",8,"Index of writing skills at work","Writing at work",2012,"YES",1,4,4,"Other",1
"cap_influence","CAP",9,"Index of influencing skills at work","Influencing",2012,"YES",1,3,4,"Other",1
"cap_planning","CAP",10,"Index of planning skills at work","Planning skills",2012,"YES",1,3,4,"Other",1
"cap_taskdisc","CAP",11,"Index of task discretion at work","Task discretion",2012,"YES",1,3,4,"Other",1
"cap_learnatwk","CAP",12,"Index of learning at work","Learning at work",2012,"YES",1,3,4,"Other",1
"cap_readytolrn","CAP",13,"Index of readiness to learn","Readiness to learn",2012,"YES",1,3,4,"Other",1
"cap_lrn12mth","CAP",14,"Proportion undertaking job related learning (formal and non-formal)","Job related learning",2012,"YES",1,3,4,"Other",1
"crm_approach","CRM",1,"Strategic approach to critical risks governance/management","Strategic approach",2016,"NO",1,5,3.3333333,"Government",7
"crm_leadinstfunc","CRM",2,"Functions of the lead institution for critical risks","Lead risk institution",2016,"NO",1,5,3.3333333,"Government",11
"crm_riskplanning","CRM",3,"HFA data on risk planning","Risk planning",2015,"NO",1,5,3.3333333,"Government",7
"crm_multihazard","CRM",4,"HFA data on multi-hazard assessment","Multi-hazard",2015,"NO",1,5,3.3333333,"Government",5
"crm_riskmonitoring","CRM",5,"HFA data on risk monitoring","Monitoring",2015,"NO",1,5,3.3333333,"Government",4
"crm_riskmgmtcap","CRM",6,"Risk management capabilities","Risk management",2016,"NO",1,4,3.3333333,"Government",5
"crm_preprdness","CRM",7,"HFA data on risk preparedness","Preparedness",2015,"NO",1,4,3.3333333,"Government",5
"crm_econappraisal","CRM",8,"HFA data on economic appraisal","Apprisal",2015,"NO",1,4,3.3333333,"Government",6
"crm_intlcoop","CRM",9,"HFA data on international cooperation","Int'l cooperation",2015,"NO",1,4,3.3333333,"Government",6
"crm_communications","CRM",10,"Risk communications","Communication",2016,"NO",1,2,5,"Government",3
