group,metric,label,cc_iso3c,raw_value,value,imputed,radar_x,radar_y,data_label,hover_label
0_index,incise_index,InCiSE Index,AUS,0.8725648099595219,0.8725648099595219,,,,0.87,"AUS - InCiSE Index:
0.87"
0_index,incise_index,InCiSE Index,AUT,0.6197549768038616,0.6197549768038616,,,,0.62,"AUT - InCiSE Index:
0.62"
0_index,incise_index,InCiSE Index,BEL,0.5181720248904672,0.5181720248904672,,,,0.52,"BEL - InCiSE Index:
0.52"
0_index,incise_index,InCiSE Index,BGR,0.12958097670475255,0.12958097670475255,,,,0.13,"BGR - InCiSE Index:
0.13"
0_index,incise_index,InCiSE Index,CAN,0.9371708944302656,0.9371708944302656,,,,0.94,"CAN - InCiSE Index:
0.94"
0_index,incise_index,InCiSE Index,CHE,0.6562049270930469,0.6562049270930469,,,,0.66,"CHE - InCiSE Index:
0.66"
0_index,incise_index,InCiSE Index,CHL,0.4713872752437796,0.4713872752437796,,,,0.47,"CHL - InCiSE Index:
0.47"
0_index,incise_index,InCiSE Index,CZE,0.2518617872452379,0.2518617872452379,,,,0.25,"CZE - InCiSE Index:
0.25"
0_index,incise_index,InCiSE Index,DEU,0.4986424324262602,0.4986424324262602,,,,0.50,"DEU - InCiSE Index:
0.50"
0_index,incise_index,InCiSE Index,DNK,0.8449329100598051,0.8449329100598051,,,,0.84,"DNK - InCiSE Index:
0.84"
0_index,incise_index,InCiSE Index,ESP,0.5979908496080772,0.5979908496080772,,,,0.60,"ESP - InCiSE Index:
0.60"
0_index,incise_index,InCiSE Index,EST,0.6769788451736509,0.6769788451736509,,,,0.68,"EST - InCiSE Index:
0.68"
0_index,incise_index,InCiSE Index,FIN,0.8821048509670263,0.8821048509670263,,,,0.88,"FIN - InCiSE Index:
0.88"
0_index,incise_index,InCiSE Index,FRA,0.6134832154707993,0.6134832154707993,,,,0.61,"FRA - InCiSE Index:
0.61"
0_index,incise_index,InCiSE Index,GBR,1,1,,,,1.00,"GBR - InCiSE Index:
1.00"
0_index,incise_index,InCiSE Index,GRC,0.10637013861734056,0.10637013861734056,,,,0.11,"GRC - InCiSE Index:
0.11"
0_index,incise_index,InCiSE Index,HRV,0.14927794786964638,0.14927794786964638,,,,0.15,"HRV - InCiSE Index:
0.15"
0_index,incise_index,InCiSE Index,HUN,0,0,,,,0.00,"HUN - InCiSE Index:
0.00"
0_index,incise_index,InCiSE Index,IRL,0.6286565175735743,0.6286565175735743,,,,0.63,"IRL - InCiSE Index:
0.63"
0_index,incise_index,InCiSE Index,ISL,0.2591035072800579,0.2591035072800579,,,,0.26,"ISL - InCiSE Index:
0.26"
0_index,incise_index,InCiSE Index,ISR,0.32872450187573554,0.32872450187573554,,,,0.33,"ISR - InCiSE Index:
0.33"
0_index,incise_index,InCiSE Index,ITA,0.41669531559603346,0.41669531559603346,,,,0.42,"ITA - InCiSE Index:
0.42"
0_index,incise_index,InCiSE Index,InCiSE,0.516875100691825,0.516875100691825,,,,0.52,"InCiSE - InCiSE
Index: 0.52"
0_index,incise_index,InCiSE Index,JPN,0.45476179750191886,0.45476179750191886,,,,0.45,"JPN - InCiSE Index:
0.45"
0_index,incise_index,InCiSE Index,KOR,0.7741809214253687,0.7741809214253687,,,,0.77,"KOR - InCiSE Index:
0.77"
0_index,incise_index,InCiSE Index,LTU,0.4908523393299859,0.4908523393299859,,,,0.49,"LTU - InCiSE Index:
0.49"
0_index,incise_index,InCiSE Index,LVA,0.45705554778051327,0.45705554778051327,,,,0.46,"LVA - InCiSE Index:
0.46"
0_index,incise_index,InCiSE Index,MEX,0.47373062854430864,0.47373062854430864,,,,0.47,"MEX - InCiSE Index:
0.47"
0_index,incise_index,InCiSE Index,NLD,0.7936445995303185,0.7936445995303185,,,,0.79,"NLD - InCiSE Index:
0.79"
0_index,incise_index,InCiSE Index,NOR,0.8286484079616708,0.8286484079616708,,,,0.83,"NOR - InCiSE Index:
0.83"
0_index,incise_index,InCiSE Index,NZL,0.9788692166275432,0.9788692166275432,,,,0.98,"NZL - InCiSE Index:
0.98"
0_index,incise_index,InCiSE Index,POL,0.2818922138614067,0.2818922138614067,,,,0.28,"POL - InCiSE Index:
0.28"
0_index,incise_index,InCiSE Index,PRT,0.24979062584099507,0.24979062584099507,,,,0.25,"PRT - InCiSE Index:
0.25"
0_index,incise_index,InCiSE Index,ROU,0.1216608857360482,0.1216608857360482,,,,0.12,"ROU - InCiSE Index:
0.12"
0_index,incise_index,InCiSE Index,SVK,0.17115495897187907,0.17115495897187907,,,,0.17,"SVK - InCiSE Index:
0.17"
0_index,incise_index,InCiSE Index,SVN,0.3670193002466866,0.3670193002466866,,,,0.37,"SVN - InCiSE Index:
0.37"
0_index,incise_index,InCiSE Index,SWE,0.7824137642979726,0.7824137642979726,,,,0.78,"SWE - InCiSE Index:
0.78"
0_index,incise_index,InCiSE Index,TUR,0.19203332693677808,0.19203332693677808,,,,0.19,"TUR - InCiSE Index:
0.19"
0_index,incise_index,InCiSE Index,USA,0.7638865868070119,0.7638865868070119,,,,0.76,"USA - InCiSE Index:
0.76"
0_indicators,ind_cap,Capabilities,AUS,0.6903754913438311,,0.6903754913438311,0.17868232543179394,0.6668515169260116,0.69,"AUS - Capabilities:
0.69 (imputed)"
0_indicators,ind_cap,Capabilities,AUT,0.556875367330477,0.556875367330477,,0.14412995081358954,0.5379002993287195,0.56,"AUT - Capabilities:
0.56"
0_indicators,ind_cap,Capabilities,BEL,0.4981954977022025,0.4981954977022025,,0.12894248298965913,0.4812198977714936,0.50,"BEL - Capabilities:
0.50"
0_indicators,ind_cap,Capabilities,BGR,0.5801227342935272,,0.5801227342935272,0.1501468121321141,0.5603555314715489,0.58,"BGR - Capabilities:
0.58 (imputed)"
0_indicators,ind_cap,Capabilities,CAN,0.8633356323403962,0.8633356323403962,,0.22344770396532226,0.8339181840331925,0.86,"CAN - Capabilities:
0.86"
0_indicators,ind_cap,Capabilities,CHE,0.7019890511676123,,0.7019890511676123,0.181688135895626,0.678069354294955,0.70,"CHE - Capabilities:
0.70 (imputed)"
0_indicators,ind_cap,Capabilities,CHL,0.587338470040585,0.587338470040585,,0.1520143819678797,0.5673253969853093,0.59,"CHL - Capabilities:
0.59"
0_indicators,ind_cap,Capabilities,CZE,0.6437985954520706,0.6437985954520706,,0.16662733771324897,0.621861690275783,0.64,"CZE - Capabilities:
0.64"
0_indicators,ind_cap,Capabilities,DEU,0.5411967840874379,0.5411967840874379,,0.14007203487006575,0.5227559508546449,0.54,"DEU - Capabilities:
0.54"
0_indicators,ind_cap,Capabilities,DNK,0.8835570029915676,0.8835570029915676,,0.22868137980792258,0.8534505281881227,0.88,"DNK - Capabilities:
0.88"
0_indicators,ind_cap,Capabilities,ESP,0.6168364744734464,0.6168364744734464,,0.1596490273076228,0.5958182812909995,0.62,"ESP - Capabilities:
0.62"
0_indicators,ind_cap,Capabilities,EST,0.7947236530771027,0.7947236530771027,,0.20568961700980268,0.7676441012699673,0.79,"EST - Capabilities:
0.79"
0_indicators,ind_cap,Capabilities,FIN,0.8493931508482027,0.8493931508482027,,0.21983912421915316,0.8204507810773254,0.85,"FIN - Capabilities:
0.85"
0_indicators,ind_cap,Capabilities,FRA,0.41470526571650834,0.41470526571650834,,0.10733362087173381,0.40057452645364594,0.41,"FRA - Capabilities:
0.41"
0_indicators,ind_cap,Capabilities,GBR,0.8001822898518329,0.8001822898518329,,0.20710241616739988,0.7729167395070105,0.80,"GBR - Capabilities:
0.80"
0_indicators,ind_cap,Capabilities,GRC,0.15815399233485247,0.15815399233485247,,0.0409332652752579,0.15276502572695735,0.16,"GRC - Capabilities:
0.16"
0_indicators,ind_cap,Capabilities,HRV,0.6144466180087512,,0.6144466180087512,0.1590304869394983,0.5935098572106265,0.61,"HRV - Capabilities:
0.61 (imputed)"
